policy_id,driver_age,gender,driving_experience,vehicle_make,vehicle_model,vehicle_type,vehicle_age,engine_capacity,vehicle_value,county,annual_mileage,previous_claims,claim_amount_history,no_claim_bonus,policy_type,accident_risk_index,theft_risk_index,driver_risk_score,premium_amount
17,19,Female,0,Mitsubishi,Pajero,Hatchback,11,1200,5778047,Nyeri,31309,0,0,1,Comprehensive,0.26,0.5,45.8,100570.71
18,34,Female,11,Toyota,Axio,Sedan,4,1500,3380389,Kericho,28509,1,166256,0,Comprehensive,0.32,0.61,57.3,76505.83
19,33,Female,13,Mitsubishi,Outlander,Hatchback,19,1500,7958426,Kilifi,52011,0,0,0,Third Party,0.85,0.48,56.1,145626.39
20,24,Male,3,Isuzu,Dmax,SUV,8,1000,371295,Kisumu,28078,1,18155,1,Comprehensive,0.79,0.37,71.6,31819.43
21,48,Male,21,Toyota,Axio,Hatchback,2,2500,3804473,Kakamega,30199,1,143121,0,Third Party,1.0,0.97,77.9,98667.1
22,22,Male,0,Nissan,Navara,SUV,8,1000,6971458,Kajiado,47642,4,615784,0,Third Party,0.95,0.83,131.6,161121.87
23,57,Male,36,Mitsubishi,Pajero,Sedan,2,3000,4627576,Meru,51940,0,0,0,Third Party,0.64,0.75,43.2,95913.64
24,33,Female,7,Subaru,Forester,Pickup,3,1000,7628141,Machakos,30876,0,0,0,Comprehensive,0.72,0.88,60.2,143322.11
25,34,Male,16,Mitsubishi,Outlander,Hatchback,15,1500,4601754,Nyeri,45818,1,126381,1,Comprehensive,0.98,0.51,75.1,98226.31
26,71,Male,46,Honda,CRV,Sedan,1,1800,2757184,Nakuru,44790,1,181836,0,Comprehensive,0.6,0.66,48.2,68357.76
27,66,Female,48,Honda,CRV,Hatchback,11,1500,5430397,Kiambu,48484,0,0,1,Third Party,0.5,0.21,23.7,91255.96
28,41,Female,23,Toyota,Axio,Hatchback,13,1800,8803902,Kakamega,57322,1,151564,0,Comprehensive,0.51,0.88,64.9,162208.53
29,20,Female,1,Mazda,Demio,Hatchback,9,2500,2289173,Uasin Gishu,5569,1,82991,0,Comprehensive,0.74,0.49,74.5,69237.6
30,44,Female,17,Toyota,Harrier,SUV,1,1200,4653127,Embu,45864,0,0,0,Third Party,0.49,0.43,38.8,89746.9
31,72,Male,45,Isuzu,Dmax,Pickup,2,1200,9485687,Nairobi,13716,0,0,1,Third Party,0.7,0.36,29.7,156885.3
32,25,Female,0,Mazda,Demio,Sedan,18,2500,1472622,Kericho,18403,1,134862,1,Third Party,0.23,0.57,58.3,45239.33
33,39,Male,12,Mazda,Demio,Sedan,16,1500,3803157,Kiambu,20338,0,0,0,Comprehensive,0.86,0.42,52.2,82947.35
34,61,Female,39,Nissan,Xtrail,Hatchback,6,1500,9660133,Kakamega,5876,0,0,0,Third Party,0.63,0.71,40.1,167551.99
35,69,Female,50,Toyota,Axio,SUV,9,2000,8911474,Meru,26136,1,113481,0,Third Party,0.26,0.22,30.2,153772.11
36,70,Female,46,Subaru,Forester,Hatchback,8,1500,6395929,Nyeri,34305,0,0,1,Comprehensive,0.64,0.77,37.1,113638.93
37,57,Female,35,Subaru,Impreza,Hatchback,0,3000,4901020,Machakos,58222,1,200710,0,Comprehensive,0.24,0.65,44.2,99115.3
38,68,Female,46,Honda,CRV,Pickup,13,1500,2048014,Meru,18296,2,107838,1,Third Party,0.28,0.59,53.7,53220.21
39,56,Male,35,Subaru,Impreza,Pickup,0,2000,1407677,Meru,42220,1,108116,0,Comprehensive,0.91,0.41,60.0,54365.15
40,27,Male,0,Mazda,Demio,SUV,18,1200,4766271,Kilifi,46975,1,61991,0,Comprehensive,0.96,0.96,87.0,111494.07
41,45,Male,17,Isuzu,Dmax,Hatchback,19,3000,6257515,Kericho,11833,1,211660,1,Third Party,0.64,0.95,68.2,125262.72
42,20,Male,2,Mazda,Demio,SUV,0,3000,2355723,Kajiado,25764,0,0,0,Third Party,0.5,0.23,47.1,57935.85
43,67,Male,47,Subaru,Forester,Sedan,16,1200,5133177,Bungoma,20305,0,0,0,Comprehensive,0.41,0.6,28.3,94447.65
44,70,Male,51,Honda,CRV,Pickup,12,1300,831831,Meru,45355,2,97512,1,Comprehensive,0.8,0.85,73.5,44877.46
45,66,Male,46,Mazda,CX5,Pickup,15,1500,4270001,Kakamega,10104,1,148429,1,Comprehensive,0.65,0.39,46.8,84100.01
46,72,Female,48,Isuzu,Dmax,Pickup,2,1000,1198320,Kiambu,49912,2,152468,1,Comprehensive,0.28,0.24,44.7,36774.8
47,58,Female,38,Mitsubishi,Pajero,SUV,11,1000,3921581,Embu,56934,3,338385,1,Comprehensive,0.46,0.74,82.1,92323.71
48,53,Female,31,Subaru,Forester,SUV,15,1000,1087494,Mombasa,23540,3,494358,0,Third Party,0.91,0.48,92.9,59662.41
49,35,Male,6,Subaru,Impreza,Sedan,8,1200,4708249,Kakamega,40307,3,611784,1,Third Party,0.86,0.76,106.0,113523.74
50,22,Female,0,Subaru,Forester,Hatchback,5,1300,6543669,Embu,46459,0,0,0,Third Party,0.99,0.8,72.2,131005.04
51,23,Male,0,Toyota,Corolla,Pickup,18,1800,8715398,Kiambu,58338,0,0,0,Comprehensive,0.29,0.59,46.5,150980.97
52,30,Female,11,Subaru,Impreza,Sedan,19,1500,7042471,Mombasa,18116,3,228120,1,Third Party,0.5,0.43,91.1,139337.07
53,73,Female,55,Honda,CRV,Hatchback,5,1800,6003737,Kiambu,41395,2,61118,0,Third Party,0.62,0.99,69.4,125756.05
54,54,Male,33,Toyota,Corolla,Hatchback,2,1300,2673139,Bungoma,49472,2,125276,0,Third Party,1.0,0.76,85.7,81397.08
55,20,Male,0,Mitsubishi,Outlander,SUV,10,1500,7477545,Kiambu,15975,0,0,1,Comprehensive,0.56,0.7,58.3,132563.17
56,25,Female,0,Mazda,Demio,Pickup,3,1200,6955623,Bungoma,24129,0,0,0,Third Party,0.26,0.98,52.4,128034.35
57,44,Female,21,Isuzu,Dmax,SUV,16,1000,4310912,Kiambu,40547,0,0,0,Comprehensive,0.93,0.86,60.6,95113.68
58,35,Female,15,Mazda,CX5,Sedan,4,2500,5487480,Kajiado,5009,2,22030,1,Third Party,0.5,0.85,82.0,116812.2
59,49,Male,31,Mazda,Demio,Hatchback,10,1800,8823838,Nairobi,25309,2,171760,1,Comprehensive,0.53,0.42,67.3,158407.57
60,65,Male,41,Mitsubishi,Pajero,Sedan,5,1500,2022320,Meru,37606,3,44427,0,Third Party,0.88,0.4,84.4,71434.8
61,31,Female,5,Isuzu,Dmax,Sedan,13,1000,4277266,Machakos,58932,1,47744,0,Comprehensive,0.81,0.24,66.1,94208.99
62,48,Male,23,Subaru,Impreza,Pickup,6,1200,9196761,Kilifi,48125,1,184016,1,Third Party,0.64,0.65,60.7,162751.42
63,47,Male,19,Nissan,Navara,Pickup,16,3000,6480142,Kiambu,20254,3,273951,1,Comprehensive,0.69,0.98,99.3,141452.13
64,67,Male,48,Nissan,Xtrail,SUV,17,2000,850222,Uasin Gishu,28386,0,0,1,Comprehensive,0.48,0.61,30.6,29253.33
65,41,Female,12,Nissan,Navara,SUV,9,1300,1596516,Kajiado,42660,0,0,0,Comprehensive,0.87,0.82,59.5,53997.74
66,37,Female,12,Isuzu,Dmax,Pickup,4,1200,2149396,Kisumu,10569,1,153087,1,Comprehensive,0.47,0.63,60.7,55390.94
67,40,Male,16,Mitsubishi,Pajero,Hatchback,15,2500,8301482,Meru,16637,1,135827,1,Third Party,0.48,0.92,65.3,153322.23
68,20,Male,0,Mazda,CX5,Pickup,17,1800,4091481,Kiambu,16314,0,0,0,Third Party,0.48,0.48,51.5,83372.21
69,39,Female,17,Subaru,Forester,SUV,5,1000,2545131,Kajiado,23777,1,101865,0,Comprehensive,0.75,0.23,60.1,66026.96
70,74,Female,48,Nissan,Navara,Pickup,14,3000,3425354,Mombasa,24262,1,74291,0,Third Party,0.84,0.8,56.7,86180.31
71,69,Male,44,Nissan,Navara,Sedan,13,1200,9503739,Nairobi,13150,2,312212,0,Third Party,0.4,0.77,60.4,173856.08
72,64,Female,40,Mazda,CX5,SUV,13,1300,4008654,Nairobi,6531,0,0,1,Third Party,0.48,0.52,30.3,73529.81
73,42,Male,18,Subaru,Impreza,Sedan,4,1500,2619049,Nairobi,6062,1,197865,1,Third Party,0.63,0.39,58.2,61835.74
74,30,Female,9,Subaru,Impreza,Hatchback,3,1200,767010,Bungoma,21616,1,36069,1,Third Party,0.67,0.8,73.6,39655.15
75,66,Male,37,Isuzu,Dmax,Hatchback,18,1200,6782532,Nyeri,24123,2,54520,0,Third Party,0.46,0.95,67.3,136437.98
76,70,Female,47,Mazda,CX5,Pickup,5,2000,2555363,Bungoma,16613,0,0,0,Comprehensive,0.34,0.92,31.1,60930.45
77,72,Female,52,Toyota,Axio,Pickup,18,2500,1333255,Kajiado,9324,1,132177,1,Comprehensive,0.66,0.93,54.9,47998.82
78,32,Male,9,Nissan,Note,Pickup,16,2000,1330117,Embu,18234,3,294708,0,Comprehensive,0.82,0.35,98.1,65851.76
79,71,Female,50,Mazda,Demio,Sedan,18,1500,8340979,Nairobi,41976,2,105066,0,Third Party,0.66,0.32,58.2,155214.68
80,53,Female,25,Honda,CRV,Pickup,2,1000,9074533,Kiambu,50745,1,150937,0,Comprehensive,0.99,0.46,64.9,169067.99
81,19,Male,0,Isuzu,Dmax,SUV,0,2500,8096324,Kericho,48336,2,335372,0,Third Party,0.84,0.29,89.0,161944.86
82,22,Female,0,Mazda,Demio,Sedan,11,1200,2012503,Machakos,41298,1,134450,0,Third Party,0.94,0.78,85.3,68087.54
83,46,Male,21,Mitsubishi,Pajero,SUV,10,1000,2455748,Kisumu,35523,0,0,1,Third Party,0.35,0.39,32.8,48886.22
84,31,Female,4,Mazda,Demio,SUV,3,1000,9751244,Meru,22449,2,469562,1,Comprehensive,0.92,0.7,93.6,183668.66
85,50,Male,26,Mitsubishi,Outlander,Hatchback,14,1000,7790200,Uasin Gishu,7192,2,355054,1,Third Party,0.38,0.63,66.5,143253.0
86,23,Female,0,Nissan,Note,Hatchback,2,2500,645266,Mombasa,29519,1,130430,1,Comprehensive,0.7,0.63,74.6,40478.99
87,56,Female,28,Nissan,Navara,Pickup,3,1800,5575034,Nakuru,22334,0,0,0,Comprehensive,0.66,0.81,45.5,108825.51
88,27,Male,9,Honda,CRV,Pickup,5,1800,5697662,Mombasa,34486,1,50631,1,Third Party,0.6,0.63,69.6,110864.93
89,46,Female,25,Toyota,Prado,Pickup,11,1800,5825633,Kilifi,53538,2,269428,1,Third Party,0.68,0.86,82.1,120684.49
90,27,Male,2,Mitsubishi,Pajero,Pickup,5,2000,7695350,Kilifi,5814,0,0,1,Comprehensive,0.32,0.67,47.0,134730.25
91,35,Male,9,Subaru,Impreza,Hatchback,0,2500,4724507,Kajiado,32306,4,249316,1,Comprehensive,0.82,0.5,114.6,119267.6
92,26,Female,3,Toyota,Corolla,Hatchback,18,1800,3621127,Mombasa,8368,2,354632,1,Third Party,0.33,0.35,71.4,79466.9
93,40,Male,14,Toyota,Axio,Sedan,0,2500,3878226,Kericho,59183,1,216132,1,Comprehensive,0.47,0.84,63.4,86223.39
94,70,Male,43,Toyota,Prado,Sedan,8,1300,2198739,Bungoma,54688,3,139104,1,Comprehensive,0.67,0.23,72.2,64031.08
95,68,Male,45,Mitsubishi,Outlander,Sedan,6,1500,4408997,Nakuru,24956,2,29514,1,Third Party,0.38,0.37,52.3,88034.96
96,66,Male,42,Nissan,Navara,SUV,16,1500,8708424,Meru,54840,2,145646,0,Comprehensive,0.6,0.68,66.1,164226.36
97,30,Female,6,Toyota,Corolla,Sedan,18,1300,7733533,Kajiado,7079,1,183532,1,Comprehensive,0.58,0.65,67.9,141602.99
98,35,Female,17,Mitsubishi,Pajero,SUV,13,1300,1003662,Mombasa,33865,1,21485,0,Comprehensive,0.65,0.32,60.9,42304.93
99,18,Female,0,Toyota,Axio,Pickup,6,1300,9815807,Kilifi,42641,0,0,1,Comprehensive,0.62,0.84,63.9,169937.1
100,72,Male,43,Subaru,Forester,Pickup,17,2500,7749607,Mombasa,54984,1,40678,0,Third Party,0.74,0.22,43.1,144244.1
101,71,Female,45,Isuzu,Dmax,Hatchback,14,1800,3485714,Nairobi,29160,4,493812,0,Third Party,0.86,0.52,98.2,99885.71
102,54,Male,31,Toyota,Axio,Hatchback,13,2500,8050575,Mombasa,52057,0,0,1,Third Party,0.37,0.22,26.0,133408.62
103,36,Female,15,Toyota,Axio,Hatchback,17,1200,2308960,Machakos,28236,1,240785,1,Comprehensive,0.49,0.23,53.8,53784.4
104,37,Male,15,Toyota,Harrier,SUV,4,2000,2005215,Kakamega,50960,1,130307,1,Third Party,0.98,0.82,79.8,65478.23
105,34,Female,7,Nissan,Xtrail,Pickup,13,2500,2032465,Nairobi,40954,2,219216,0,Comprehensive,0.41,0.31,69.0,64036.97
106,60,Male,39,Mitsubishi,Outlander,Sedan,12,1200,1314929,Bungoma,31665,1,181024,0,Third Party,0.52,0.6,50.1,45623.93
107,29,Male,5,Honda,CRV,Pickup,9,2000,1016756,Uasin Gishu,56226,3,173772,1,Comprehensive,0.34,0.93,96.8,55151.34
108,43,Male,21,Nissan,Note,Hatchback,13,3000,9838555,Nairobi,43709,1,21555,0,Third Party,0.82,0.25,60.6,179278.32
109,28,Female,3,Mazda,CX5,Pickup,10,3000,6532739,Nyeri,30712,3,627957,0,Third Party,0.95,0.79,112.8,150841.08
110,50,Male,23,Isuzu,Dmax,SUV,3,2500,2642035,Kakamega,53594,1,131789,1,Comprehensive,0.96,0.32,62.7,68930.52
111,26,Male,0,Isuzu,Dmax,Pickup,1,1800,3021864,Kiambu,20048,1,141132,0,Comprehensive,0.75,0.55,73.0,78077.96
112,56,Female,36,Subaru,Forester,Pickup,2,1200,6087749,Kajiado,28393,0,0,0,Third Party,0.27,0.93,36.2,111066.24
113,34,Female,7,Mitsubishi,Outlander,Pickup,16,2500,3597291,Machakos,6341,4,461692,1,Third Party,0.88,0.4,114.9,102459.36
114,42,Female,13,Isuzu,Dmax,Hatchback,14,1300,3798472,Embu,51617,0,0,0,Third Party,0.67,1.0,56.6,85727.08
115,43,Male,21,Mitsubishi,Outlander,SUV,6,2000,9352788,Kajiado,29070,0,0,1,Comprehensive,0.29,0.54,35.5,155941.82
116,46,Female,27,Toyota,Prado,SUV,19,2500,8970178,Nairobi,42265,2,124750,1,Third Party,0.38,0.3,61.9,160552.67
117,51,Male,31,Isuzu,Dmax,Hatchback,4,1300,434055,Kiambu,36705,1,197918,1,Third Party,0.84,0.63,64.8,33310.82
118,39,Male,13,Isuzu,Dmax,Hatchback,12,1200,3035264,Kakamega,33687,2,267236,1,Third Party,0.9,0.22,79.4,76928.96
119,72,Female,53,Nissan,Note,Pickup,2,1300,8204294,Nakuru,46773,1,71916,1,Comprehensive,0.23,0.58,35.0,138014.41
120,33,Female,8,Subaru,Forester,SUV,11,2500,8269693,Kakamega,55072,1,151888,1,Comprehensive,0.39,0.29,53.5,145995.39
121,31,Male,6,Isuzu,Dmax,Hatchback,17,1500,3347569,Machakos,52037,1,231165,1,Third Party,0.24,0.29,50.0,67113.54
122,74,Male,49,Subaru,Impreza,Hatchback,3,1500,3488729,Kilifi,6828,1,178645,1,Comprehensive,0.99,0.91,63.4,82380.93
123,41,Male,13,Nissan,Note,SUV,12,1200,5304998,Mombasa,19899,0,0,0,Third Party,0.95,0.72,59.9,109724.97
124,70,Female,50,Toyota,Harrier,Pickup,12,2000,1163561,Mombasa,45042,0,0,1,Comprehensive,0.23,0.97,28.8,33603.42
125,73,Female,50,Subaru,Forester,Sedan,4,1800,4043797,Kajiado,12214,0,0,0,Third Party,0.94,1.0,49.2,89756.95
126,59,Male,39,Toyota,Corolla,SUV,17,1200,3341341,Nyeri,52319,2,87320,1,Comprehensive,0.63,0.67,70.3,79370.11
127,31,Female,9,Toyota,Corolla,Pickup,1,1300,2639767,Kakamega,28874,0,0,0,Third Party,0.91,0.96,68.5,71946.51
128,29,Female,2,Mitsubishi,Pajero,Hatchback,8,2500,8468984,Nairobi,55106,0,0,0,Third Party,0.5,0.41,46.2,151434.76
129,22,Female,0,Honda,CRV,Pickup,17,2000,5387268,Nakuru,14903,1,55648,0,Third Party,0.25,0.91,67.2,112659.02
130,46,Male,26,Nissan,Note,Pickup,2,3000,8699911,Kilifi,35561,3,88869,1,Comprehensive,0.4,0.33,78.1,163198.66
131,65,Male,39,Honda,CRV,Sedan,12,1300,2055692,Meru,37088,1,79274,0,Comprehensive,0.8,0.33,50.6,58235.38
132,60,Male,33,Mazda,CX5,SUV,18,2500,7163382,Mombasa,17713,0,0,1,Comprehensive,0.38,0.93,37.5,127150.73
133,35,Female,14,Mazda,CX5,SUV,1,2000,4061675,Nakuru,38062,0,0,0,Comprehensive,0.69,0.98,60.3,92675.12
134,34,Male,9,Subaru,Forester,Hatchback,1,1500,5711263,Bungoma,36575,1,86242,0,Comprehensive,0.81,0.63,72.4,119218.94
135,49,Male,30,Mitsubishi,Outlander,Hatchback,14,2000,4368316,Nyeri,21661,2,382528,1,Comprehensive,0.82,0.77,83.0,102524.74
136,71,Female,53,Toyota,Harrier,SUV,17,1200,8319213,Nakuru,42567,2,324998,0,Comprehensive,0.81,0.22,60.7,155838.2
137,28,Male,10,Subaru,Forester,Sedan,5,2500,1854510,Machakos,32570,0,0,1,Third Party,0.56,0.42,48.7,47417.65
138,46,Male,25,Toyota,Harrier,Sedan,16,1300,9612652,Bungoma,37232,0,0,1,Third Party,0.86,0.44,49.1,163989.78
139,49,Female,30,Honda,Fit,Hatchback,14,2000,9609205,Kiambu,16722,0,0,1,Comprehensive,0.32,0.55,33.6,159438.07
140,38,Female,16,Mazda,Demio,SUV,19,2000,3640216,Kilifi,37196,3,429156,1,Comprehensive,0.36,0.89,92.1,93303.24
141,41,Male,12,Mitsubishi,Pajero,Pickup,17,2500,2677935,Mombasa,24994,1,146848,1,Comprehensive,0.27,0.32,46.5,60219.02
142,44,Male,25,Honda,Fit,Pickup,19,2500,5541218,Mombasa,22343,0,0,0,Third Party,0.94,0.69,57.5,114618.27
143,63,Male,37,Subaru,Impreza,Pickup,13,2500,1097968,Kilifi,33541,1,114101,1,Third Party,0.38,0.33,39.0,35769.52
144,39,Female,16,Mazda,CX5,SUV,1,3000,7894378,Kericho,34759,1,167661,0,Comprehensive,0.51,0.58,59.9,149265.67
145,48,Female,25,Mitsubishi,Outlander,Pickup,10,1800,3510016,Kakamega,56195,1,174053,0,Third Party,0.8,0.32,58.9,81350.24
146,29,Female,3,Mazda,Demio,Sedan,13,3000,8407317,Kilifi,34781,0,0,0,Comprehensive,0.65,0.21,46.7,150659.76
147,50,Male,31,Honda,CRV,SUV,0,1000,2349949,Kericho,28116,0,0,1,Comprehensive,0.46,0.98,45.9,53849.24
148,43,Female,16,Subaru,Impreza,SUV,17,2500,4300737,Kiambu,5105,0,0,0,Third Party,0.96,0.3,50.8,93311.05
149,23,Female,0,Isuzu,Dmax,Pickup,5,1000,5411142,Embu,31015,0,0,1,Comprehensive,0.9,0.77,68.4,107367.13
150,37,Male,9,Nissan,Navara,Pickup,6,1300,1525811,Uasin Gishu,37975,2,217636,0,Comprehensive,0.23,0.33,62.5,50737.17
151,31,Male,3,Honda,CRV,Pickup,17,2000,4635702,Kericho,49555,0,0,1,Comprehensive,0.69,0.46,51.9,92185.53
152,63,Female,42,Toyota,Axio,Sedan,12,3000,3474108,Kilifi,49662,1,230971,1,Third Party,0.64,0.78,55.8,79311.62
153,39,Female,17,Toyota,Prado,Hatchback,8,1300,8409698,Kericho,19025,1,26309,1,Comprehensive,0.22,0.41,47.8,142845.47
154,29,Male,11,Mitsubishi,Outlander,Hatchback,19,1800,9684451,Bungoma,30963,2,181636,1,Comprehensive,0.66,0.55,83.8,176566.76
155,70,Male,51,Mazda,CX5,Pickup,3,1200,589102,Kisumu,31017,3,289956,0,Third Party,0.37,0.7,72.6,44286.53
156,57,Female,35,Mitsubishi,Outlander,Hatchback,14,1000,4514279,Mombasa,31723,1,248507,1,Comprehensive,0.5,0.61,51.2,88814.18
157,54,Male,32,Mitsubishi,Outlander,Hatchback,5,1800,5184797,Embu,55677,2,376272,1,Third Party,0.73,0.28,68.0,105321.96
158,34,Female,6,Toyota,Harrier,Hatchback,1,1300,2390212,Machakos,58508,1,71367,0,Comprehensive,0.52,0.39,58.9,62953.18
159,48,Male,20,Nissan,Navara,Pickup,9,1300,2954837,Kakamega,21653,1,86619,1,Comprehensive,0.86,0.54,65.1,71622.55
160,37,Male,12,Honda,Fit,Sedan,10,1500,2242811,Uasin Gishu,24576,1,25563,1,Comprehensive,0.58,0.88,69.0,60942.17
161,61,Male,36,Isuzu,Dmax,Hatchback,14,2500,3922138,Kilifi,55108,0,0,0,Comprehensive,0.3,0.38,23.6,76532.07
162,43,Male,25,Isuzu,Dmax,Sedan,2,2000,1686980,Bungoma,33404,0,0,1,Third Party,0.61,0.23,38.9,42254.7
163,59,Male,38,Mazda,Demio,Sedan,17,3000,4739850,Kisumu,5125,3,443130,0,Comprehensive,0.62,0.47,81.0,112297.75
164,55,Male,34,Honda,CRV,SUV,12,1500,6981935,Mombasa,6969,0,0,1,Third Party,0.33,0.35,26.9,114779.02
165,72,Male,47,Isuzu,Dmax,Pickup,5,1800,6177845,Nairobi,55350,4,888448,1,Comprehensive,0.86,0.89,105.1,138767.67
166,66,Female,37,Honda,Fit,Sedan,7,1000,9004813,Bungoma,35659,1,57055,0,Third Party,0.86,0.73,59.9,167572.2
167,58,Female,31,Mazda,CX5,SUV,1,1200,6042533,Nairobi,54726,3,678666,1,Comprehensive,0.79,0.9,95.2,131387.99
168,55,Female,34,Honda,CRV,SUV,5,1300,2732593,Mombasa,36116,2,284878,0,Comprehensive,0.44,0.72,67.6,73388.89
169,38,Male,20,Nissan,Xtrail,SUV,11,1200,7349926,Machakos,39958,1,113896,1,Comprehensive,0.68,0.64,66.7,135848.89
170,52,Male,23,Nissan,Navara,Sedan,5,1200,5128426,Bungoma,44778,0,0,1,Comprehensive,0.81,0.6,47.8,97776.39
171,38,Male,11,Subaru,Forester,Hatchback,7,3000,1047419,Meru,36348,1,31636,1,Third Party,0.52,0.66,62.3,43011.29
172,61,Male,40,Honda,Fit,SUV,14,1300,2386213,Kiambu,21173,2,348492,0,Third Party,0.54,0.92,71.6,71093.2
173,70,Female,41,Mazda,CX5,Pickup,14,1000,5682858,Uasin Gishu,41914,0,0,0,Third Party,0.58,0.36,27.1,103442.87
174,31,Male,10,Subaru,Forester,Pickup,15,1800,9436621,Kilifi,41378,2,249586,1,Comprehensive,0.69,0.77,88.1,175599.32
175,66,Male,45,Honda,CRV,Sedan,10,2500,6443326,Embu,49139,0,0,0,Comprehensive,0.35,0.44,23.8,114799.89
176,66,Female,39,Honda,CRV,Sedan,9,3000,8844291,Kakamega,59355,2,162062,1,Comprehensive,0.62,0.29,58.9,160964.36
177,30,Male,6,Nissan,Xtrail,Hatchback,8,1200,5055976,Machakos,21393,0,0,0,Third Party,0.87,0.92,67.0,107489.64
178,33,Female,15,Nissan,Navara,Hatchback,4,1500,6177809,Kakamega,44575,2,151362,0,Third Party,0.81,0.32,81.7,128517.13
179,72,Female,53,Honda,CRV,Hatchback,4,2500,3996176,Kericho,54634,2,365386,1,Comprehensive,0.22,0.71,52.3,85042.64
180,45,Male,21,Toyota,Axio,Pickup,10,1200,1506861,Uasin Gishu,55252,1,240145,0,Comprehensive,0.42,0.68,56.2,49602.92
181,35,Female,15,Honda,Fit,Pickup,9,2000,2354780,Kisumu,36910,1,119847,1,Comprehensive,0.3,0.28,49.6,55121.7
182,43,Male,20,Subaru,Impreza,SUV,9,3000,3405958,Kilifi,44532,0,0,0,Third Party,0.72,0.68,51.2,79689.37
183,26,Female,1,Honda,Fit,SUV,0,1300,4610796,Kajiado,11704,2,290654,1,Third Party,0.63,0.9,91.4,104511.94
184,67,Male,47,Honda,Fit,Sedan,11,1800,4468962,Embu,13533,3,59058,1,Third Party,0.57,0.25,71.1,96384.43
185,61,Female,34,Honda,Fit,Pickup,3,1800,9523644,Kisumu,15526,1,242041,1,Third Party,0.28,0.56,41.6,160254.66
186,33,Female,4,Subaru,Impreza,Hatchback,16,3000,3947371,Nyeri,25103,2,225494,0,Comprehensive,0.98,0.22,84.8,100710.57
187,37,Female,12,Subaru,Impreza,Hatchback,11,1000,9704024,Bungoma,21669,2,203756,1,Third Party,0.89,0.69,89.5,181610.36
188,29,Male,6,Honda,CRV,Hatchback,19,1200,2915804,Kericho,57877,0,0,1,Third Party,0.41,0.49,45.1,59187.06
189,38,Female,19,Isuzu,Dmax,SUV,8,1000,3894058,Machakos,43067,0,0,1,Comprehensive,0.68,0.61,51.1,77810.87
190,52,Male,29,Toyota,Corolla,Hatchback,10,2500,1026331,Bungoma,29819,0,0,0,Comprehensive,0.52,0.63,39.7,39594.96
191,62,Female,42,Isuzu,Dmax,Hatchback,9,2000,5616741,Bungoma,57290,1,214872,0,Third Party,0.46,0.22,39.7,108151.11
192,44,Male,25,Mitsubishi,Outlander,Pickup,2,1200,1552557,Uasin Gishu,43675,3,119952,0,Third Party,0.94,0.59,100.5,68788.35
